text,date,category,language
"Hello, Does it matter iff I use Visa or Mastercard? Thanks",7-6-2022,visa_or_mastercard,en
"Good afternoon, I just got refunded for my purchase over two weeks ago best Regards",16-11-2022,reverted_card_payment?,en
"Hello, I got billed ann extra pound! Thanks",4-12-2022,extra_charge_on_statement,en
"Hi, How long does it take for a transfer to show up in my account? Thanks",23-11-2022,transfer_timing,en
"hi, When can I use money sent to my accountt? best Regards",17-4-2022,transfer_timing,en
"Hi, My card is about to expire.  Are there any costs with a replacement card?  How quick do you mail it to me? best Regards",5-8-2022,card_about_to_expire,en
"Good afternoon, The exchange rate that was applied for an international purchase was wrongg. best Regards",26-7-2022,card_payment_wrong_exchange_rate,en
"hello, Myy app shows a payment I didn't make thanks",4-4-2022,card_payment_not_recognised,en
"Hello, There is a card payment that I'm not recognizing. Kind Regards",8-1-2022,card_payment_not_recognised,en
"good evening, Do you offer auto top ups? Kind Regards",22-3-2022,automatic_top_up,en
"good afternoon, How do you decide what the exchangee rates are? Best Regards",11-7-2022,exchange_rate,en
"hi, I made a transfer and was charged extra. Why? best Regards",10-4-2022,transfer_fee_charged,en
"Good afternoon, I made a payment and it appears it is showing twicee thanks",11-8-2022,transaction_charged_twice,en
"Good evening, I recently bought something abroad but the exchange ratee is incorrect. Why? kind Regards",20-7-2022,card_payment_wrong_exchange_rate,en
"hi, The ATM didn't give me thee full requested amount Thanks",13-8-2022,wrong_amount_of_cash_received,en
"good afternoon, What is the procedure for topping up with a cheque? best Regards",24-5-2022,top_up_by_cash_or_cheque,en
"good evening, Will you accept my credit card, it my only one. thanks",11-1-2022,supported_cards_and_currencies,en
"hi, My new card just arrived, how cann I activate it? Best Regards",3-8-2022,activate_my_card,en
"Good morning, How can II information on my limit for top-ups? Best Regards",21-8-2022,top_up_limits,en
"Good evening, Why hasn't my transfer gone through Kind Regards",21-9-2022,failed_transfer,en
"Good morning, I thought transfers were free. Whyy was I charged to transfer? best Regards",1-5-2022,transfer_fee_charged,en
"hi, Do I pay extraa for exchange? best Regards",6-7-2022,exchange_charge,en
"hi, Are there any restrictions for the disposable cards that I need to be aware of? thanks",10-9-2022,disposable_card_limits,en
"hi, Why on earth is the exchange rate so bad?   Can I get a rate closer to the actual interbank rate? thanks",4-6-2022,card_payment_wrong_exchange_rate,en
We have hope. Rebellions are built on hope.,2-2-2022,account_support,en
"good evening, What doess a transfer cost? Kind Regards",5-3-2022,top_up_by_bank_transfer_charge,en
"Hi, Can you explain to me why a top upp would be reverted? Kind Regards",4-3-2022,top_up_reverted,en
"Good morning, Do you support direct deposits from my employer? Thanks",23-6-2022,receiving_money,en
"Olá, Posso obter uma atualização sobre o meu cartão de substituição? Cumprimentos",11-7-2022,extra_charge_on_statement,pt
"Boas, Encontrei o meu cartão no meu casaco esta manhã, por isso posso reativá-lo? Obrigada",26-12-2022,cash_withdrawal_not_recognised,pt
"hi, The ATM wouldn't allow me to withdraw money Thanks",7-5-2022,declined_cash_withdrawal,en
"Hello, I was checking my statementt and I think one of my card payments has reverted Best Regards",22-12-2022,reverted_card_payment?,en
"hi, I guess exchange rate for my payment was not correct, as i charged extra on the last saturday. best Regards",21-1-2022,card_payment_wrong_exchange_rate,en
